Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
sahel_jihad_cb_desc;Acquire an infidel §Ystate§W;Prendre un §YÉtat§W ennemi où nous avons des §Yprovinces principales§W;Erobern Sie einen feindlichen §YStaat§W, in dem wir §YKernprovinzen§W haben.;;;;;;;;;;;
sahel_jihad_cb_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
sahel_jihad_cb_setup;Acquire $STATE$ from $RECIPIENT$;Prendre État de $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
AGRESSION_WAR_ALL_CORES_NAME_USA_ENG;The $ORDER$Anglo-American War;;;;;;;;;;;;;
NORMAL_WAR_ALL_CORES_NAME_USA_ENG;The $ORDER$Anglo-American War;;;;;;;;;;;;;
AGRESSION_WAR_ALL_CORES_NAME_ENG_USA;The $ORDER$Anglo-American War;;;;;;;;;;;;;
NORMAL_WAR_ALL_CORES_NAME_ENG_USA;The $ORDER$Anglo-American War;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME;$ORDER$$FIRST$ War to Humiliate $SECOND_COUNTRY$;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War of Honor;;;;;;;;;;;
NORMAL_LIBERATE_PUPPET_NO_INFAMY_WAR_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Freedom;;;;;;;;;;;
AGRESSION_LIBERATE_PUPPET_NO_INFAMY_WAR_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Liberation;;;;;;;;;;;
liberate_puppet_no_infamy;Liberate and Puppet Country;;;;;;;;;;;
liberate_puppet_no_infamy_desc;Liberate and puppet an §Yentire country§W from its oppressors\n\n§YNOTE: §RDo not use it with normal Free people or Liberate Country CBs for other non existent countries.§W;;;;;;;;;;;
liberate_puppet_no_infamy_short;$THIRD$ acquires $STATE$ and becomes a puppet;;;;;;;;;;;
liberate_puppet_no_infamy_setup;Puppet and return $STATE$ to $THIRD$ from $RECIPIENT$;;;;;;;;;;;
abolish_sound_dues_cb;Abolish Sound Dues;;;;;;;;;;;;;
abolish_sound_dues_cb_desc;Forcibly abolish the §YSound Dues§W of the Øresund;;;;;;;;;;;;;
abolish_sound_dues_cb_short;$RECIPIENT$ abolishes the Sound Dues;;;;;;;;;;;;;
abolish_sound_dues_cb_setup;Force $RECIPIENT$ to abolish Sound Dues;;;;;;;;;;;;;
NORMAL_ABOLISH_SOUND_DUES_CB_WAR_NAME;The $ORDER$$FIRST$ War of Sound Due Abolition;;;;;;;;;;;;;
AGRESSION_ABOLISH_SOUND_DUES_CB_WAR_NAME;The $ORDER$$FIRST$ War of Sound Due Abolition;;;;;;;;;;;;;
